Date,Product,SKU,Quantity,Unit Type,Price Per Unit ($),Multiplier,Owner,Repository Slug,Username,Actions Workflow,Notes
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-704,user-715,.github/workflows/workflow-985.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU,2,minute,0.008,1.0,owner-88,repo-983,user-171,.github/workflows/workflow-133.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,15,minute,0.008,1.0,owner-316,repo-499,user-971,.github/workflows/workflow-710.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-767,user-715,.github/workflows/workflow-985.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-910,user-715,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,15,minute,0.008,1.0,owner-316,repo-657,user-399,.github/workflows/workflow-710.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-694,user-715,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-517,user-65,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-899,user-926,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-248,user-673,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-332,user-673,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-646,user-715,.github/workflows/workflow-985.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU,4,minute,0.008,1.0,owner-316,repo-954,user-650,.github/workflows/workflow-710.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-137,user-673,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-433,user-715,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-434,user-715,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-659,repo-818,user-705,.github/workflows/workflow-133.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,6,minute,0.008,1.0,owner-88,repo-61,user-800,.github/workflows/workflow-133.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-428,user-308,.github/workflows/workflow-985.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-604,user-715,.github/workflows/workflow-985.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU,10,minute,0.008,1.0,owner-316,repo-349,user-399,.github/workflows/workflow-710.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-683,user-506,.github/workflows/workflow-66.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,2,minute,0.008,1.0,owner-88,repo-554,user-482,.github/workflows/workflow-133.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-986,user-715,.github/workflows/workflow-985.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-459,user-715,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-566,user-308,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,4,minute,0.008,1.0,owner-88,repo-52,user-482,.github/workflows/workflow-133.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-707,user-513,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,4,minute,0.008,1.0,owner-316,repo-208,user-624,.github/workflows/workflow-710.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,8,minute,0.008,1.0,owner-316,repo-898,user-399,.github/workflows/workflow-710.yml,notes-7193
